active_player,comp_rank,comp_player,similarity_pct,comp_goat_v4,comp_adj_ppg,comp_career_per,comp_n_seasons
Victor Wembanyama,1,Larry Bird,94.1,58.91,23.1,21.0,13
Victor Wembanyama,2,Tim Duncan,91.0,62.53,20.6,16.9,19
Victor Wembanyama,3,Karl Malone,90.3,60.52,25.1,17.8,19
Victor Wembanyama,4,Chet Walker,88.8,40.62,17.2,19.5,13
Victor Wembanyama,5,Clyde Drexler,88.4,51.54,20.3,19.8,17
Shai Gilgeous-Alexander,1,David Thompson,63.0,35.08,20.8,20.0,9
Shai Gilgeous-Alexander,2,Paul Arizin,9.0,39.83,23.0,15.0,10
Shai Gilgeous-Alexander,3,Bobby Jones,-61.5,16.76,3.7,3.4,7
Nikola Jokic,1,Larry Bird,97.7,58.91,23.1,21.0,13
Nikola Jokic,2,Chet Walker,85.5,40.62,17.2,19.5,13
Nikola Jokic,3,Magic Johnson,79.1,59.54,18.8,21.1,13
Nikola Jokic,4,Connie Hawkins,78.2,39.27,16.7,14.3,11
Nikola Jokic,5,Wes Unseld,54.7,43.98,10.2,13.5,13
LeBron James,1,Carmelo Anthony,50.8,43.68,23.9,14.8,21
LeBron James,2,Shaquille O'Neal,48.3,57.22,23.6,17.4,21
LeBron James,3,Kevin Garnett,-2.4,57.43,17.5,12.3,23
LeBron James,4,Chris Paul,-12.5,52.95,17.1,8.2,21
LeBron James,5,Dirk Nowitzki,-57.5,54.32,21.8,9.6,21
Stephen Curry,1,Clyde Drexler,85.1,51.54,20.3,19.8,17
Stephen Curry,2,Karl Malone,81.0,60.52,25.1,17.8,19
Stephen Curry,3,John Stockton,78.4,56.69,13.2,21.0,19
Stephen Curry,4,Reggie Miller,77.5,46.4,18.6,16.6,18
Stephen Curry,5,Michael Jordan,73.3,70.47,29.4,19.3,15
